clipname,namefirst,namelast,setting,ppl,sessionname,sessionnotes,startdate,name
"""See See Rider""",Jack,"Owens
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,Mississippi Delta and Hill Country 1978
"""See See Rider""",Benjamin,"Spires
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,Mississippi Delta and Hill Country 1978
"""See See Rider""",Benjamin,"Spires
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,Mississippi Delta and Hill Country 1978
"""Mama Don't Allow"" (I)",Jack,"Owens
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,Mississippi Delta and Hill Country 1978
"""Mama Don't Allow"" (I)",Jack,"Owens
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,Mississippi Delta and Hill Country 1978
"""Mama Don't Allow"" (I)",Benjamin,"Spires
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,Mississippi Delta and Hill Country 1978
"""Mama Don't Allow"" (I)",Benjamin,"Spires
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,Mississippi Delta and Hill Country 1978
"""Must Not Be Long""",Jack,"Owens
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,Mississippi Delta and Hill Country 1978
"""Must Not Be Long""",Jack,"Owens
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,Mississippi Delta and Hill Country 1978
"""Must Not Be Long""",Benjamin,"Spires
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,Mississippi Delta and Hill Country 1978
"""Must Not Be Long""",Benjamin,"Spires
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,Mississippi Delta and Hill Country 1978
"""Mama Don't Allow"" (II)",Jack,"Owens
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,Mississippi Delta and Hill Country 1978
"""Mama Don't Allow"" (II)",Jack,"Owens
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,Mississippi Delta and Hill Country 1978
"""Mama Don't Allow"" (II)",Benjamin,"Spires
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,Mississippi Delta and Hill Country 1978
"""Mama Don't Allow"" (II)",Benjamin,"Spires
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,Mississippi Delta and Hill Country 1978
"""Easy-Ridin' Buggy"" (II)",Benjamin,"Spires
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,Mississippi Delta and Hill Country 1978
"""Easy-Ridin' Buggy"" (II)",Benjamin,"Spires
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,Mississippi Delta and Hill Country 1978
"""Easy-Ridin' Buggy"" (III)",Benjamin,"Spires
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,Mississippi Delta and Hill Country 1978
"""Easy-Ridin' Buggy"" (III)",Benjamin,"Spires
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,Mississippi Delta and Hill Country 1978
Rabbit and hound story,Benjamin,"Spires
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,Mississippi Delta and Hill Country 1978
Rabbit and hound story,Benjamin,"Spires
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,Mississippi Delta and Hill Country 1978
Directions to the liquor store,Benjamin,"Spires
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,Mississippi Delta and Hill Country 1978
Directions to the liquor store,Benjamin,"Spires
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,Mississippi Delta and Hill Country 1978
"""Easy-Ridin' Buggy"" (V)",Benjamin,"Spires
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,Mississippi Delta and Hill Country 1978
"""Easy-Ridin' Buggy"" (V)",Benjamin,"Spires
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,Mississippi Delta and Hill Country 1978
"""Easy-Ridin' Buggy"" (V)",Benjamin,"Spires
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,Mississippi Delta and Hill Country 1978
